,sector1,sector2,sector3,sector4,sector5,sector6,sector7,sector8,sector9,sector10,sector11,sector12,sector13,sector14,sector15,sector16,sector17,sector18,sector19,sector20,sector21,sector22,sector23,sector24,sector25,sector26,sector27,sector28,sector29,sector30
146,3.0,6.0,0.0,13.0,48.0,0.0,0.0,0.0,0.0,0.0,310.0,291.0,29.0,0.0,0.0,0.0,0.0,23.0,0.0,518.0,110.0,402.0,63.0,1339.0,850.0,130.0,385.0,880.0,2125.0,1407.0
147,0.0,0.0,26.0,23.0,28.0,0.0,10.0,0.0,0.0,0.0,265.0,123.0,88.0,0.0,0.0,4.0,0.0,24.0,0.0,389.0,130.0,290.0,69.0,915.0,894.0,82.0,418.0,782.0,2393.0,1195.0
148,0.0,4.0,13.0,10.0,27.0,0.0,0.0,0.0,0.0,6.0,281.0,97.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,401.0,76.0,222.0,68.0,1430.0,789.0,98.0,468.0,741.0,2333.0,1689.0
149,0.0,10.0,5.0,7.0,47.0,0.0,0.0,0.0,0.0,0.0,314.0,114.0,25.0,0.0,0.0,17.0,0.0,0.0,8.0,382.0,81.0,275.0,58.0,2025.0,742.0,55.0,653.0,639.0,1897.0,1776.0
150,0.0,0.0,40.0,8.0,23.0,0.0,11.0,0.0,0.0,0.0,340.0,80.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,382.0,57.0,265.0,67.0,1202.0,700.0,143.0,749.0,473.0,1921.0,1539.0
151,0.0,5.0,42.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,348.0,59.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,232.0,105.0,243.0,64.0,896.0,1001.0,120.0,894.0,478.0,2296.0,1775.0
152,0.0,0.0,35.0,26.0,8.0,0.0,4.0,0.0,0.0,0.0,411.0,29.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,108.0,352.0,41.0,999.0,887.0,136.0,778.0,525.0,2382.0,1744.0
153,0.0,4.0,20.0,50.0,13.0,0.0,6.0,0.0,0.0,0.0,340.0,43.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,387.0,57.0,217.0,44.0,860.0,1193.0,92.0,690.0,494.0,2212.0,1879.0
154,0.0,9.0,10.0,38.0,42.0,0.0,25.0,0.0,0.0,0.0,359.0,88.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,430.0,66.0,215.0,12.0,812.0,845.0,175.0,526.0,460.0,1744.0,1831.0
155,0.0,4.0,5.0,40.0,53.0,0.0,0.0,0.0,0.0,0.0,318.0,53.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,353.0,83.0,203.0,65.0,667.0,644.0,202.0,862.0,431.0,1919.0,1583.0
